,shopee_product_ID,shopee_name,shopee_cat,shopee_price,lazada_name,lazada_cat,lazada_price,lazada_discount_price,lazada_weight,similarity_score
1077,60708629,Fancyqube Fahsion Women Tank Pokemon GO Team Vest,Women Clothes,68064,"Fancyqube Fashion Jewelry Pokemon Go Key Chain Pokemon ball Team
Valor ,Instinct Glass Keyring Keychain Unisex (H05) - intl","Jam Tangan, Kacamata, dan Perhiasan",39000.0,39000.0,,0.57389167307
1078,283109509,Fancyqube Sleeveless Flower Printed Tank Top,Women Clothes,104452,"Fancyqube Spring Summer Tank Tops Women Sleeveless Loose Printing T
Shirt Ladies Casual Shirts Vest Multicolor - intl",Fashion,87000.0,87000.0,,0.645444919864
1079,311632750,Fancyqube Mini Playsuit  Jumpsuit Rompers Casual Loose BeachWear,Women Clothes,120860,"Fancyqube Womens Sequined Deep V Neck Rompers Shorts Playsuits
Clubwear Clothes Burgandy(Int:L)(OVERSEAS) - intl",Fashion,183000.0,183000.0,,0.414555169272
1080,164151421,Fancycube 8 pcs/set magic hair wizard trolls color random,Hobby & Toys,124045,"Fancyqube 1 Pcs Random Color New Mini Flower Children Hair Clip
High Quality hair Claws Women Girls Hair Gripper Hair Accessories
Random - intl",Bayi & Balita,42000.0,42000.0,,0.394051407274
1081,219721224,Fancyqube Women USA Flag Printed Sleeveless Vest T-shirt,Women Clothes,77714,Fancyqube American Flag Pattern Printed Vest - Intl,Fashion,123000.0,123000.0,0.11,0.484217659583
1082,222922703,Fancyqube Sirens Red Rose Logo Girls Ringer Tank Top,Women Clothes,66126,Fancyqube Gold Plated Rose Flower Earring Red,"Jam Tangan, Kacamata, dan Perhiasan",40000.0,40000.0,0.01,0.363009716955
1083,123806156,Fancycube Cute Pusheen Cat Plush Pen Pencil Bag ,Women Bags,64669,"Fancyqube 1pc Gold Foil Gift Pens Metal Crystal Pen Ballpoint Pens
With Gold Foil Many Colors Available Gold Foil Pens Blue - intl",Alat Tulis & Kerajinan,66000.0,66000.0,,0.365502654597
1084,60708380,Fancyqube Women Long Sleeve T-Shirt Sexy V Neck Zipper Tops,Women Clothes,77598,"Fancyqube NEW Fashion Autumn V Neck Long Sleeve Zipper Chiffon
Blouses Women work wear Blusas Femininas Tops 6 Color Solid Yellow",Fashion,131000.0,131000.0,0.12,0.578436859189
1085,159679240,Fancycube baby letter cap boy girl Lei Feng hat,Baby & Kids,72617,"Fancyqube Hot boys girls summer baby hat pentagram horn baseball
cap infant cotton cap unisex cute autumn kids kids cap hat H04 -
intl",Bayi & Balita,81000.0,81000.0,,0.444307261016
1086,346854585,Fancyqube Lace Long Pants Leg Pants,Women Clothes,118040,"Fancyqube Women Fashion Leather Gothic Punk Leggings Pants Lace
Skinny Trousers Black - intl",Fashion,245000.0,245000.0,,0.635453964975
